,TWEET,POLARITY,SUBJECTIVITY
2,Dude: haha I called cooling down so you…,-0.1138888888888889,0.27222222222222225
3,I just earned the 'Cream of the Crop' badge on @untappd! https://t.co/BU9PUuiAPA,0.0,0.0
13,#ひと足先に美味し…,0.0,0.0
14,One time I was drinking a beer and wearing a shirt that says girl power in a facebook pic and my mom commented and… https://t.co/PouI7PDVWT,0.0,0.0
15,I just earned the '99 Bottles (Level 42)' badge on @untappd! https://t.co/M4hmy71QbP,0.0,0.0
16,Meet us to Speak English and have a Beer!  https://t.co/LowpiKb1lT,0.0,0.0
17,Drinking a Ginormous by @GiganticBrewing @ Fred Meyer — https://t.co/wiT8gxrLmw,0.0,0.0
18,Watery. - Drinking a Dry Irish Stout by @eventidebrewing @ YEAH! Burger  — https://t.co/cuIYfJpdRL #photo,-0.033333333333333326,0.3
19,I just earned the 'Hopped Down (Level 21)' badge on @untappd! https://t.co/K5YAFLPvYP,-0.19444444444444448,0.2888888888888889
22,Ohio: hold my beer.,0.5,0.5
32,#ひと足先に美味し…,0.0,0.0
42,#ひと足先に美味し…,0.0,0.0
43,RT @IamAngyvesvely: เหมือนแบมแจคุยกันแก้เหงา เพราะแฟนของทั้งคู่แอบหนีเที่ยว แบบพี่ยองแจเนี่ยพี่มาร์คไปกับพี่จส ใช่ม่ะ เอออๆพี่ก็ว่ามันหนีเ…,0.0,0.0
53,#ひと足先に美味し…,0.0,0.0
54,Need a #beer after today? Stop by for $3 Bud + Bud Light ALuminum Bottles at the bar til' 10pm tonight! https://t.co/7crJEPVJs6,0.5,0.7
64,#ひと足先に美味し…,0.0,0.0
74,#ひと足先に美味し…,0.0,0.0
84,#ひと足先に美味し…,0.0,0.0
94,#ひと足先に美味し…,0.0,0.0
95,Colorado Brewery Concocts Collins-Inspired Beer https://t.co/qazbQpL0Dz,0.0,0.0
96,I watch this dude take vitamins and other pills w/ a beer  I never wanna hear shit about me medicating EVER,-0.1625,0.5875
97,Drinking an Owlers IPA by @Badgerales - https://t.co/hZzPyx75c8,0.0,0.0
98,RT @BarryStantonGB: had a call from school. headteacher tells me my son was caught drinking beer at lunch. i said whats the fucking problem…,-0.6,0.8
99,We've expanded our interviews to #WhyBeer! Our first is with Ryan Pappe of @PyramidBrew: https://t.co/7Pjh21ePqA,0.25,0.3333333333333333
109,#ひと足先に美味し…,0.0,0.0
119,#ひと足先に美味し…,0.0,0.0
129,#ひと足先に美味し…,0.0,0.0
