TWEET,POLARITY,SUBJECTIVITY
harro this is dog,0.0, 0.0
RT @bretmanrock: Do you ever think about how cute your dog would be if it was a human..I feel like my dog and I would be best friends,0.75, 0.65
If I never told you nothing dog never give up,0.0, 0.0
RT @Mike_Stud: If shit ain’t going right  get a dog,0.042857142857142844, 0.6678571428571429
RT @dodo: This poor dog somehow survived 3 WEEKS with his head trapped inside a bottle. Once he was finally safe  his rescuers realized his…,-0.03333333333333336, 0.3666666666666667
Ban Slaughter and Consumption of Dogs in Africa’s Evala Dog Eating Festival https://t.co/yrC7vnu36J  PLEASE  PLEASE… https://t.co/zZe9ooSrVv,0.0, 0.0
RT @maya_rowe: Rt if your dog is an 11/10,0.0, 0.0
RT @NHL: "Yeah  that's going to be a no for me  dog." -  Kari Lehtonen https://t.co/jNz0VIzvOU,0.0, 0.0
Woman Accused of Suffocating Cat and Dog in Garbage Bag Must be Punished https://t.co/AApka1TGpS,-0.5, 0.5
あぁ😭😭😭😭😭😭😭,0.0, 0.0
RT @maya_rowe: Rt if your dog is an 11/10,0.0, 0.0
These Dog Leotards Are Not Only Adorable—They Solve A Problem That Plagues Most Dog Owners https://t.co/EcDCsXKbXw,0.25, 0.75
RT @dog_rates: Haha good one you guys. Submitting a pic without a dog in it. Super clever. You got us. 11/10 for the leash disappearing int…,0.35, 0.6000000000000001
通話してる時の自分の声聞く方法探そう……台詞まで言わされたしな……気になる,0.0, 0.0
@stranahan Does it really matter with you guys!,0.25, 0.2
RT @sxaoliveira: GENTE DE SAO PAULO 

Achamos esse dog no meio do lixo  é bem filhotinho. Se alguem quiser adotar POR FAVOR 

Deem rt pra a…,0.0, 0.0
RT @fullofnooks: 🔥갓세븐 팬미팅 나눔🔥
날짜 : 12.4. 일요일
수량 : 25set(전차스+배경지)
황금멍멍이의 해를 기념하여 왕개박개 전차스를 나눔합니다. 사진보다 더욱 영롱한 골드전차스에요!
*크기는 랜덤입니다 https://t.…,0.0, 0.0
RT @maya_rowe: Rt if your dog is an 11/10,0.0, 0.0
It’s a sun dog 😊 https://t.co/fcTCnM1l18,0.0, 0.0
RT @NECROMANClNG: yall motherfuckers don’t even deserve animals honestly. this made me really sad and now i miss my dog who is at home prob…,0.04999999999999999, 0.95
@Naos210 @JosephKahn @ThatIGotDrunk16 @redsnake1989 @ChanclerVHaynes @terryking_ Racial differences do not correlat… https://t.co/raeR2Q8LZW,0.0, 0.0
*Every dog owner https://t.co/bALzA3vPFq,0.0, 0.0
RT @NECROMANClNG: yall motherfuckers don’t even deserve animals honestly. this made me really sad and now i miss my dog who is at home prob…,0.04999999999999999, 0.95
@_adorneee @Str8Ruthless_ @MiaLaRegina THE DOG,0.0, 0.0
RT @LouDobbs: Retro RINO Retread – 2012 loser Romney can’t get the dog off the car and can’t quit attacking @realDonaldTrump. Join #Dobbs N…,0.0, 0.0
RT @maya_rowe: Rt if your dog is an 11/10,0.0, 0.0
RT @NECROMANClNG: yall motherfuckers don’t even deserve animals honestly. this made me really sad and now i miss my dog who is at home prob…,0.04999999999999999, 0.95
RT @NECROMANClNG: yall motherfuckers don’t even deserve animals honestly. this made me really sad and now i miss my dog who is at home prob…,0.04999999999999999, 0.95
I miss my Maya. She was such a great dog!!! Does anybody have any German Shepherd puppy connections?? ☹️,0.3333333333333333, 0.4166666666666667
RT @NECROMANClNG: yall motherfuckers don’t even deserve animals honestly. this made me really sad and now i miss my dog who is at home prob…,0.04999999999999999, 0.95
RT @maya_rowe: Rt if your dog is an 11/10,0.0, 0.0
RT @exoticgamora: #MondayMotivaton 

Trump isn't able to hide his ugly racist bigoted feelings from his face.

There is no intelligence  em…,-0.09999999999999998, 0.8125
RT @TheWorldOfFunny: Breakfast time 😜🐾 https://t.co/xoRvFfnI6u,0.0, 0.0
RT @standoe5: Dog this the funniest Saints video I seen bra 😭😭😭😭😭😭 bro was dippin and all 😂😂😂 https://t.co/GLgEcZZmJC,0.0, 0.0
RT @elissakh: When u have the cutest dog ever❤ https://t.co/XKtpHrgRAL,0.0, 0.0
RT @maya_rowe: Rt if your dog is an 11/10,0.0, 0.0
why was sirius black's animagus a dog when his personality was basically salem saberhagen https://t.co/VN7NdL2zu3,-0.16666666666666666, 0.43333333333333335
RT @rudeweaver: Every time I'm in the shower my dog stares at me  worried  and he must assume I'm upset in here (because he hates baths) so…,0.0, 0.0
Spot on.  The tail is wagging the dog.  The extremist left are rewriting the entire history of humanity of what gen… https://t.co/83otn1TsHM,0.0, 0.3125
RT @dodo: This poor dog somehow survived 3 WEEKS with his head trapped inside a bottle. Once he was finally safe  his rescuers realized his…,-0.03333333333333336, 0.3666666666666667
RT @NECROMANClNG: yall motherfuckers don’t even deserve animals honestly. this made me really sad and now i miss my dog who is at home prob…,0.04999999999999999, 0.95
RT @tbhjuststop: My mother said I would not get a good relationship between my cat and my dog https://t.co/rzqKWq84LS,0.7, 0.6000000000000001
RT @SincerelyTumblr: My mother said I would not get a good relationship between my cat and my dog https://t.co/PT259djuwo,0.7, 0.6000000000000001
RT @kaoruJJ2: @maigo_dog_    迷子犬を探しています。中型メス、立ち耳、茶色と白。静岡県焼津市から行方不明。 ２０１７年１２月１８日早朝より離れてしまいました。 見つけた方どうぞ保護して焼津駅前交番TEL054－628－9003に 連絡下さい。出た時は…,0.0, 0.0
RT @StillHateDuffy: I know this white girl who boyfriend used to beat her ass for no reason.. and she wouldn’t leave cuz they had a dog tog…,0.0, 0.0
RT @NECROMANClNG: yall motherfuckers don’t even deserve animals honestly. this made me really sad and now i miss my dog who is at home prob…,0.04999999999999999, 0.95
RT @maya_rowe: Rt if your dog is an 11/10,0.0, 0.0
RT @maya_rowe: Rt if your dog is an 11/10,0.0, 0.0
RT @xoxdogsxox: After 24yrs  I finally got to adopt my first dog. Welcome to the family  Troy! https://t.co/JuCQW4HDU7,0.4166666666666667, 0.7444444444444445
Dog Directory on Twitter https://t.co/epSup7ranX,0.0, 0.0
You vote for #PMLN #HARAMIS to live dog's life? 
Get ready to get you little boys and girls #RAPE by those bastards… https://t.co/XSUB30nfVe,0.04962121212121212, 0.5
RT @NECROMANClNG: yall motherfuckers don’t even deserve animals honestly. this made me really sad and now i miss my dog who is at home prob…,0.04999999999999999, 0.95
RT @barbmullings: I love people!! I hated my lonely life at the end of a chain. No one talked to me or touched me and all I wanted was an "…,-0.07291666666666667, 0.6666666666666666
@monitor_sur @mailonline #LookingForNews&gt;&gt;&gt; DAILY MAIL This dog has the best owner https://t.co/0lcvmJYeOm - This d… https://t.co/B2K3nLSMTz,0.5, 0.15
RT @OhSuty: where’s the fucking dog? https://t.co/VKoYHIpWRr,-0.6, 0.8
RT @keepingupwithk9: gave my dog a photo shoot https://t.co/nwF1YDEMYz,0.0, 0.0
RT @mineifiwildout: shit white ppl like:
- putting vids of their friend Connor chugging a Smirnoff on one knee on their story
-knowing ever…,-0.1, 0.4
‘Dangerous’ dog on the path the rehabilitation https://t.co/pgjsq7Kv8A https://t.co/DmtkyIOoMX,-0.6, 0.9
RT @bretmanrock: Do you ever think about how cute your dog would be if it was a human..I feel like my dog and I would be best friends,0.75, 0.65
RT @Sanchovies: watching family guy. Why the dog can speaking?,0.0, 0.0
RT @maya_rowe: Rt if your dog is an 11/10,0.0, 0.0
RT @UrgentPart2: BENJI - 17498 - TO BE DESTROYED 01/16/18 A volunteer writes: I love a dog with rabbit's ears and a chocolate body. Looks d…,0.5, 0.6
