TWEET,POLARITY,SUBJECTIVITY
RT @foodpictures666: These mozzarella stick onion rings are sinful!! #foodporn #food https://t.co/tYSGMGiDxb,0.0, 0.0
RT @Amy_Siskind: Wouldn’t it just be sublime if foreign dignitaries visiting Trump at Mar-a-Lago got food poisoning. https://t.co/4wxZdwhM4C,-0.125, 0.125
RT @OhRoyalOne: @EricBurrows @CriticalSauce @ambientisland @darren_dazmav @PamJonesLiberty @zappamel @Anamcara2015 @BelindaHayle @Scotchska…,0.0, 0.0
RT @seulwans: "Why 🤷‍♀️does that 👈 section (of fans) doesn't have food 🍚🙅‍♀️??"
*staff probably said they'll bring them food too*
" 😁👌"

so…,0.0, 0.0
RT @matthew_schneck: Today I got arrested for feeding the homeless in Wells Park in El Cajon. The City of El Cajon has made it illegal to s…,-0.5, 0.5
RT @txlutheran: Move-in opens noon today  :: Res halls  apts open noon today ahead of winter storm expected tomorrow. Food service at Lucky…,-0.05, 0.45
It’s gonna be bitterly cold again for the next few days  and Bug was shivering quite a bit  so I’ve brought him bac… https://t.co/Je4z8d9cMN,-0.26666666666666666, 0.3666666666666667
That’s me when I listen to MM FOOD,0.0, 0.0
It’s Hard to Study if You’re Hungry via @NYTimes https://t.co/bMnvxtndQl,-0.2916666666666667, 0.5416666666666666
RT @lexyyluv: Maybe it’s not the city itself  but the people  the food  the sunsets  the coffee shops. The little things💞,-0.1875, 0.5
RT @katieesplin: I genuinely think travelling the world with your partner would be the best thing ever  going round seeing mental animals a…,0.27499999999999997, 0.35000000000000003
RT @GabbySidibe: Aaron hasn’t eaten his food for 3 days and I couldnt figure out why. Turns out  he didn’t like his new bowl. I fed him wit…,0.13636363636363635, 0.45454545454545453
RT @holyfag: so you just gonna yelI at chinese people for speaking chinese at a chinese supermarket when buying chinese food from a chinese…,0.0, 0.0
Lol you’re right fake friends definitely would buy you food all the time  and buy you a part to fix your bike  yeah… https://t.co/EROCZwiEFZ,0.14642857142857146, 0.6839285714285714
#whatson via Devon Live #exmouth KFC launches new cocktail menu - and the main ingredient is GRAVY - The menu inclu… https://t.co/YCzesqO8O6,0.14646464646464644, 0.4292929292929293
RT @41Strange: A ball of dough morphs into strange creatures in the stop-motion animation 'Food' made by Emanuel Strixner (2012) https://t.…,-0.05, 0.15
@maestrazim I’m always game for Mexican food!,-0.2, 0.2
📆 TMRW 11:30am-1:30pm @ Perimeter Park - Food Truck Tuesdays (3015 Carrington Mill Blvd  27560) @SFFRaleigh,0.0, 0.0
Not like:
“I got an A on my exam”
“I just had some bomb food”
                           Or
This girl just gave me… https://t.co/Yxfb5FJ2xs,0.0, 0.0
