,TWEET,POLARITY,SUBJECTIVITY
0,RT @akikoooo: CRUSTY BUTTHOLE https://t.co/85FDKsvCDN,0.0,0.0
1,Makan di Seoul selalu di lengkapi kimchi. https://t.co/YM4BiSbkbB,0.0,0.0
2,RT @softiesoo: why does it looked like the kyungsoo from the right is touching the forehead of the kyungsoo from the left https://t.co/cTy6…,0.2619047619047619,0.3452380952380952
3,RT @PARKWOOJlNS: THE BOYZ ACROBATICS PERFORMANCE https://t.co/IkvmbfrJph,0.0,0.0
4,RT @hannamjaegi10: @kimchi_119 외국에는 보다시피 트렌스 에일리언 젠더가 있읍니다 .이처럼 국내에서도 트렌스 독수리 젠더가 있을 수 있지 않나요? 각각 사람마다 다 존중해줘야 할 부분이라고 생각합니다 https://t.co/4…,0.0,0.0
5,RT @bsidexid: I’m the basketball player staring amazed https://t.co/UI5QgG4NKG,0.0,0.0
6,@paladrae You do k ow that's actually how people make kimchi right it's not a broadcast thing people make kimchi in paddling pools,0.14285714285714285,0.31785714285714284
7,RT @asiandevine: Sora choi has the suprior model off duty looks. Your instagram models could never https://t.co/VrviT9Ccdy,0.0,0.0
9,Lisa para Rosé: Chaeng... você sabe que eu t…,-0.75,1.0
10,WE BOTH LIKE THE SAME MUSIC AND HE ATE YAKISOBA AND PORK KIMCHI WITH HIS FAMILY YESTERDAY AND IS GONNA TEACH ME HOW… https://t.co/9ElPWutsnl,0.0,0.125
11,RT @syldenn: Kimchi! Love this book. 🌶️❤️🥒 https://t.co/8VxbjHQf9Q,0.5,0.6
12,Kimchu quase kimchi... @296HC,0.0,0.0
14,☆김치님 리퀘박스☆ 히히 보구 싶은거 편하게 적어주세요!!,0.0,0.0
15,RT @rosiebaeee: jisoo doesn’t like kimchi stew but she said she will eat with chaeng this year in her message to chaeng because she knows t…,0.0,0.0
16,RT @paladrae: you know you love someone when watching them make kimchi in paddling pools is still good content,0.6,0.6000000000000001
17,Kimchi  oatmeal  water with lemon  grapes for breakfast. CHADA!,0.0,0.0
18,RT @Dingram99: @alaskanikaika @kimchi_918 @DarkArchery @AC360 @realDonaldTrump @CNN #TROLL  Just block this idiot https://t.co/M5JYyIs5ID,-0.8,0.8
20,Lisa para Rosé: Chaeng... você sabe que eu t…,-0.75,1.0
23,"- ""casa comigo?"" ""caso  mas você gos…",0.25,0.3333333333333333
24,I think it’s time that I try kimchi. Not sure which to buy though.,-0.25,0.8888888888888888
25,RT @larryislegend: When you put a lil Louisiana hot sauce on the kimchi. https://t.co/BNODjVw71s,0.25,0.8500000000000001
26,ashley ran out of kimchi flavored noodles. why did i even come over,0.0,0.0
30,갓7이 갓7이라서 사랑한다 ㅜㅜ…,0.0,0.0
31,ok i'm calling it tonight's run bts ep is when they're finally going to make a legit full course korean meal to go… https://t.co/QX8d50Pwll,0.2833333333333333,0.6833333333333332
32,@Bulletproof_SG @BTS_twt Oh! The kimchi's plates! #BTS #BestBoyBand #iHeartAwards,0.0,0.0
33,If you think kimchi is too spicy you're a wimp😂😜✌🏼,0.0,0.0
34,RT @aquawangjy: Together forever 😙 #4YearsWithGOT7 https://t.co/MgIRZhLh9f,0.0,0.0
39,Ge…,0.4732142857142857,0.5357142857142857
41,#クラッシュフィーバーかいてみた  #クラッシュフィーバー https://t.co/lCo0MVTeyv,0.0,0.0
42,Korean restaurants are famous for 'BBQ' or 'Kimchi'. However  the most mentioned word in  reviews is 'Side Dish' #SMITHsays,0.5,0.75
44,Lisa para Rosé: Chaeng... você sabe que eu t…,-0.75,1.0
45,RT @oh_spearb: IF 3RACHA IS GONNA RAP FREESTYLE FOR THEIR SURPRISE VLIVE IT'S OVER FOR YOU BITCHES,0.0,0.0
46,@RealJFairclough The Kimchi bowl is the best  hands down. Even if I was rich  I’d still get down on it.,0.2659722222222222,0.4069444444444445
47,RT @paladrae: you know you love someone when watching them make kimchi in paddling pools is still good content,0.6,0.6000000000000001
48,RT @larryislegend: When you put a lil Louisiana hot sauce on the kimchi. https://t.co/BNODjVw71s,0.25,0.8500000000000001
49,RT @banqchris: hyunjin's moves are so sharp  minho's are so smooth like he really follow the rhythm and the music flow  felix's are strong…,0.15833333333333335,0.4833333333333333
50,RT @trulyfelix: y'all really sleeping on stray kids' main rapper and main vocalist? lmaoo you're truly missing out 😩😩,0.08333333333333333,0.2291666666666667
51,Wanna go Korea na sht nya kaon kimchi and ramyeon 😘❤️,0.0,0.0
52,So much meat... #kimchi #korea #koreanfood #koreanbbq (@ Kogiya Korean BBQ - @kogiyabbq in Annandale  VA) https://t.co/cUDNmxKjDh,0.2,0.2
55,https://t.co/rG2FFQN93h,0.2,0.2
56,【慰安婦合意】孫崎享「韓国の見直しを非難する安倍首相のほうが異常で非常識」 https://t.co/08OXG9mFzz @kimchi_newsさんから,0.0,0.0
57,RT @miyudesuyo: 【日韓】日本人の83％が「韓国の慰安婦追加要求を拒否すべき」　韓国ネット「良心はどこへ？」「許しを得られる機会なのに」 https://t.co/WNzlzm0Rqo @kimchi_newsさんから,0.0,0.0
58,@KimChi_Chic this dick,0.0,0.0
61,"- ""casa comigo?"" ""caso  mas você gos…",0.25,0.3333333333333333
63,“The six people that I’ll never forget for my life.. Our birdies t…,-0.75,1.0
64,@kimchi_party わお、ひめちゃんおめでとう！🎉🎂✨,0.0,0.0
70,"look at the…,0.5369318181818181, 0.75
【日韓】日本人の83％が「韓国の慰安婦追加要求を拒否すべき」　韓国ネット「良心はどこへ？」「許しを得られる機会なのに」 https://t.co/WNzlzm0Rqo @kimchi_newsさんから,0.0, 0.0
【慰安婦合意】孫崎享「韓国の見直しを非難する安倍首相のほうが異常で非常識」 https://t.co/SaIqtJIkyN @kimchi_newsさんから,0.0, 0.0
【政治】安倍首相、平昌五輪欠席を示唆＝「予算審議に対応」―野田氏の総裁選出馬容認 https://t.co/Ph8EAr2k7d @kimchi_newsさんから,0.0, 0.0
【韓国】韓国外相 慰安婦問題の合意に関する新方針説明へ https://t.co/zOBma2Iuzf @kimchi_newsさんから,0.0, 0.0
@nf_kimchi @NF_ganggang 읔 같이 주그자요😌😌,0.0, 0.0
RT @bangtan_inspain: Mañana tenemos nuevo ep. de Run BTS! 😀
Recordemos los pucheros de Jimin cuando Tae no quiso probar el kimchi que hizo…,0.0, 0.0
RT @UniversalFanCon: #FanCon's SPECIAL GUEST
@KimChi_Chic slays in this 
@DannylHarle #music video! 🎶

Wanna see more from #KimChichic? 
Ge…,0.4732142857142857, 0.5357142857142857
Jin: what food do you like to eat that you can’t get in Korea?
Hoseok: Kimchi fried rice
Namjoon: wait no-
Jimin: N… https://t.co/KUyfzscXex,0.0, 0.0
RT @soldier_74: Kim-Jang kimchi.
#クラッシュフィーバーかいてみた  #クラッシュフィーバー https://t.co/lCo0MVTeyv,0.0, 0.0
Kimchi! https://t.co/xCIEsYvwmB,0.0, 0.0
RT @HWANG_1004: #세대차이_확_느낄만한_말을_해보자
1번째사진 저거 문구점에서 곽을 반으로 잘라주면 아이스크림 막대로 박박 긁어먹음ㅋㅋ
 2번째꺼는 슈퍼에서 자주먹었는데 요즘엔 안보이던데
3번째 가루껌은 잘못흡입하면 사례들림 
4번째껌은…,0.0, 0.0
RT @svtdoingthings: seungkwan doing a surgery on his kimchi (2015) https://t.co/T9JXBcf6v9,0.0, 0.0
RT @bangchanstv: ❗❗ rt to be in a yang jeongin protection sqaud gc!!
- must proteCT jeongin 25/8
- only 10-15 ppl; kinda selective
- u donT…,0.0, 1.0
Kimchi and chicken chigae. Best thing on a cool night where I’m feeling kinda meh. #koreanfood… https://t.co/iV4WavQHga,0.25, 0.6333333333333333
RT @AlternateJeon: snapchat and kimchi!! https://t.co/PPMt7Qx1BG,0.0, 0.0
Sseuni post :(((,-0.75, 1.0
@kimchi_party めでたや,0.0, 0.0
RT @honeyjackson852: 데뷔 4주년 축하해~🎂
아프지말고 사랑받으면서 
아가새랑 행쇼하자!!! 
지금처럼...언제나 함께하자~👫
Always with Jackson.
we are always together.🐢❤🐦
#JACKSONWAN…,0.0, 0.0
My hardworking baby :(((,-0.75, 1.0
RT @bangtan_inspain: Mañana tenemos nuevo ep. de Run BTS! 😀
Recordemos los pucheros de Jimin cuando Tae no quiso probar el kimchi que hizo…,0.0, 0.0
RT @BLACKP1NKK: heartwarming messages 😂

From Lisa to Jisoo
I’ll stop fighting with Dalgom now...

From Jisoo to Rosé
Chaeng ah this year I…,0.0, 0.0
RT @sobredramas: Because This is My First Life

- vou te dar um beijo porque nunca beijei antes  tchau
- casa comigo?"" ""caso  mas você gos…",0.25,0.3333333333333333
71,She blocked me on one account so just made another 😂 @ajaqueen @KimChi_Chic @MissFameNYC @bigandmilky @ChiChiDeVayne https://t.co/e88V4vcZMH,0.0,0.0
73,Mixed meat fried rice  beef bulgogi … https://t.co/dOFzW9bN5X,0.0,0.25
76,#GOT7 #4YearsWithGOT7 https://t.co/pMyGQpxCCJ,0.0,0.0
77,RT @paladrae: you know you love someone when watching them make kimchi in paddling pools is still good content,0.6,0.6000000000000001
78,RT @paladrae: you know you love someone when watching them make kimchi in paddling pools is still good content,0.6,0.6000000000000001
80,Recordemos los pucheros de Jimin cuando Tae no quiso probar el kimchi que hizo…,0.0,0.0
81,@laurenism_ Omg do you watch LHH Hollywood??,0.0,0.0
82,RT @paladrae: you know you love someone when watching them make kimchi in paddling pools is still good content,0.6,0.6000000000000001
83,I’m getting so many shots tomorrow since I’m going to Korea. Like for what? I’ve eaten KBBQ and kimchi so many times.,0.5,0.5
85,Recordemos los pucheros de Jimin cuando Tae no quiso probar el kimchi que hizo…,0.0,0.0
88,*That 3-5sec rule done by Hobi… https://t.co/Utc8Ii79cq,0.4666666666666667,0.7916666666666667
89,South Korea: Kimchi and hypochondria keep the population healthy | FT https://t.co/unDaHAAlw3 https://t.co/kwWTKtxUdV,0.5,0.5
90,you know you love someone when watching them make kimchi in paddling pools is still good content,0.6,0.6000000000000001
92,*I like how VMon kept c… https://t.co/NG9k0bxAAp,0.3181818181818182,0.5
93,On dirais du kimchi ptn need https://t.co/oQLTdCUvZE,0.0,0.0
94,@LiamC_PCR « que Daeso encontró al fondo de un armario tras haber rebuscado por toda la cocina. Con una sonrisa eno… https://t.co/DnM4vwoDIu,0.0,0.0
95,RT @wef: South Korean women will soon outlive us all. What's their secret? https://t.co/YfkEK0UKTC https://t.co/ou9ZTGkOFW,-0.4,0.7
100,Chaeng ah this year I…,0.0,0.0
102,Lisa para Rosé: Chaeng... você sabe que eu t…,-0.75,1.0
104,#クラッシュフィーバーかいてみた  #クラッシュフィーバー https://t.co/lCo0MVTeyv,0.0,0.0
106,Lisa para Rosé: Chaeng... você sabe que eu t…,-0.75,1.0
107,Naan bread pizza with butter  kimchi  habaneros  havarti  parmesan  chia seeds  and kumquats. https://t.co/AxGRkmmZsG,0.0,0.0
108,I NEED WIFI,0.0,0.0
109,Korea has monsters too! #kimchi #kloud #host  what more do you want? https://t.co/qvQMcBvRLz,0.5,0.5
110,I made noodles with kimchi   fish cake and green onion and I’m alive,-0.05,0.35
111,Ditto for the land of #kimchi  https://t.co/zHBXboobBb,0.0,0.0
112,@clairetanaka I love kimchi  and I’m sure it was amazing stuff  but it was just bad timing… also fresh  living kimc… https://t.co/XOv61cMw6p,0.24000000000000005,0.7111111111111109
113,キムチ速報 : 【韓国】韓国外相 慰安婦問題の合意に関する新方針説明へ https://t.co/9VzAz8Ddkj,0.0,0.0
114,@Iightofreality I mean I got kimchi at home which is damn good I could bring some ahaha,0.19375,0.64375
115,@dimpIednamjoon fuck. if there’s gonna be kimchi i would gladly sell my house if i have to,0.04999999999999999,0.8
116,https://t.co/YkdDDFgx0d,0.0,0.0
