TWEET,POLARITY,SUBJECTIVITY
Is she F*cking kidding? Ms Gabbard is sadly devoid of the information on how #KimJongUn RULES NK. He's a TYRANT and… https://t.co/7yavMcja05,-0.35, 0.5
@BretBaier Bret you should play the part after #Trump says #KimJongUn wherein he specifically in (explanatory) fashion says "I would" #MAGA,0.0, 0.0
Introducing The #KimJongun R.I.P. scenario (@ArmsControlWonk's 'Restroom In Pieces' strategy  leaked by… https://t.co/LQqWVMZ8fj,0.0, 0.0
RT @Sayonara_K: 保守速報さん ｢まるで動物の檻だ！撤去しろ！｣辺野古のプロ土人、柵の中に閉じ込められ、発狂ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ https://t.co/fEQB2tXe0p https://t.co/SifJtG9BR1,0.0, 0.0
RT @lefrasidiosho: #trump #KimJongUn #pulsante https://t.co/uFEuth9koj,0.0, 0.0
RT @I_Love_KickAss2: I feel like all the worlds problems could be solved if @realDonaldTrump and that Kim lad from one of the Koreas sat do…,0.0, 0.0
RT @TheRobustRascal: #DonaldTrump vs #KimJongUn https://t.co/mgMb6k3gzr,0.0, 0.0
RT @ShennaFoxMusic: @realDonaldTrump Haven’t seen much coverage of this 🤔🙄so don’t bother retweeting it. The President of South Korea thank…,0.2, 0.2
When #KimJongUn heard Hawaii had it in bound missile  his Haiti puckered!

#HawaiiMissileScare,0.0, 0.0
RT @ShennaFoxMusic: @realDonaldTrump Haven’t seen much coverage of this 🤔🙄so don’t bother retweeting it. The President of South Korea thank…,0.2, 0.2
@LaStampa King Kong Trump versus Kim Jong-un. #Trump #KimJongUn #CoreadelSud #coreadelnord #PerfettiSconosciuti #USA #USArmy #Guerra,0.0, 0.0
RT @TheRobustRascal: #DonaldTrump vs #KimJongUn https://t.co/mgMb6k3gzr,0.0, 0.0
Jesus Christ  #Trump and #KimJongUn need to calm the fuck down before the rest of us suffer for it

Military Quietl… https://t.co/9rDpLioQkd,-0.08888888888888888, 0.4347222222222223
That guy who set off the ballistic missile message must’ve had a great laugh when he got home. 😂… https://t.co/z2AvBYW2l4,0.55, 0.425
RT @YonLionel: #NewYearNewYou #new #wardrobe. #JanuaryBlues? Need some #retailtherapy? #Mecha #KimJongUn #NorthKorea #tshirt #design for #s…,0.13636363636363635, 0.45454545454545453
#Nostradamus predice numerose catastrofi per il 2018 https://t.co/Kt6BPTKD6F Dall'eruzione del #Vesuvio allo scoppi… https://t.co/udBQJjp3bl,0.0, 0.0
RT @EricShawnTV: Good Morning! Listen to my podcast on the @FoxNews Rundown. The #Hawaii false alarm helped #KimJongUN  says #MIT's Jim Wal…,0.23749999999999996, 0.6000000000000001
@jpodhoretz proving yet again he has no understanding of Cause and Effect. Blaming #KimJongUn for uneasiness over t… https://t.co/JBXAa1yWhU,0.0, 0.0
My rocket’s bigger than yours. #trump #KimJongUn #rocketman https://t.co/laxCNrh3o9,0.0, 0.5
@MelcochaGT @Juzgue_Usted @Eso_Me_Emputa @CapitanVertebra @Lidel_KimJongUn @mister_nicotin_ @AbogadaChapina… https://t.co/mFjEcp1555,0.0, 0.0
RT @STARRUIZ25: @MelcochaGT @Juzgue_Usted @Eso_Me_Emputa @CapitanVertebra @Lidel_KimJongUn @mister_nicotin_ @AbogadaChapina @Don_Kamu Jajaj…,0.0, 0.0
RT @Uncle_Jimbo: Stop with the #TrueLies Jamie

The only one working to stop #Hawaii from taking an actual nuclear #ICBM strike 

Is @realD…,0.0, 0.55
RT @NWPinPDX: Gov. of #Hawaii right now:

