TWEET,POLARITY,SUBJECTIVITY
RT @MichaelHargrov1: But @RepMiaLove could defend Trump calling Mexicans rapists. https://t.co/X2C8keeEIq,0.0, 0.0
RT @ericbolling: * 3 years ago and long before any Presidential declarations  @realDonaldTrump funded @RandPaul trip to Haiti to provide fr…,-0.05, 0.4
RT @nedryun: “As a businessperson I just applaud this economy. You need to give President Trump the merit of being the main person responsi…,0.16666666666666666, 0.3333333333333333
Racism charges swarm Trump as 'shithole' debate rattles immigration talks  https://t.co/VyQTcDxUAu via @politico,0.0, 0.0
RT @WendyJackmann: @Imperator_Rex3 The Capitol Switchboard is (1-866-220-0044) we urge you to call your Representative and demand the immed…,0.0, 0.0
To Donald Trump&amp;Darinder Modi:
Threats are the last resort of a man with no vocabulary - Tamora Pierce,0.0, 0.06666666666666667
RT @AMErikaNGIRLBOT: Trump calls for strict voter ID laws  which critics say disenfranchises the poor and minorities. RT if you Support Str…,-0.4, 0.6
RT @ehedie_3939: @SocialPowerOne1 You will never get any useful or truthful information from Trump sycophants so WHY do you ( and other hos…,0.225, 0.2916666666666667
RT @EdKrassen: Trump cheated on Melania months after they had Barron. If this was any other President  this would be a huge ordeal.  Why do…,0.13750000000000004, 0.6375
RT @TheLoveBel0w: THREAD OF OBAMA SCANDALS:

1. Think Trump referring to Africa and Haiti as "shitholes" is bad? What about when Obama aske…,-0.6999999999999998, 0.6666666666666666
RT @SteveSchmidtSES: The Trump faction in America accounts for between 32-36 percent of voters. The overwhelming majority of our fellow cit…,0.5, 1.0
RT @EdKrassen: If Conspiracy doesn't get Trump  Money laundering will.  If Money laundering doesn't get Trump  his sexual crimes will.  If…,0.5, 0.8333333333333334
RT @chrissyteigen: trump became president the same year people started eating tide pods,0.0, 0.125
RT @chrissyteigen: trump became president the same year people started eating tide pods,0.0, 0.125
RT @renato_mariotti: What have we come to  where we’re debating what exact racist comment our President made to Senators? Perdue and Cotton…,0.25, 0.25
RT @DearAuntCrabby: Melania Trump Has a Sister You’ve Never Seen Before https://t.co/8iFiPCS9ep

So  let me get this straight.... @FLOTUS h…,0.2, 0.4
RT @bellvisuals: Sh*hole Projections on Trump Hotel #resist https://t.co/M44MbzGDjs,0.0, 0.0
RT @SaysHummingbird: As my friend @funder rightly points out  Congress MUST establish a #TrumpSexProbe to investigate the 20 sexual assault…,0.39285714285714285, 0.6845238095238095
RT @thehill: "Shithole" projected onto Trump hotel https://t.co/MVensCw1DG https://t.co/j1fJt7EKLD,0.0, 0.0
@thiafinart Yes  but it would have the clear ring of inauthenticity.  It would underline the historical parallels … https://t.co/fhUbzE7gCc,0.05000000000000001, 0.19166666666666665
RT @JohnWDean: The greatest threat to our nation’s wellbeing is the GOP. Republicans now lie  cheat  and cover for the incompetent and raci…,0.325, 0.6833333333333333
In honor of Dr. Martin Luther King  important reading from Roxane Gay (https://t.co/jIp0nnJikL) #standagainstracism #facinghistory,0.4083333333333333, 0.7916666666666667
RT @chrissyteigen: trump became president the same year people started eating tide pods,0.0, 0.125
RT @Mkts2day: JACKPOT ! DID . (GOD)~Answer #COMEY's "..Lordy~I hope there's #tapes"😳

https://t.co/UTY0KHUWOY,0.0, 0.0
RT @funder: Spoke to three Republicans this morning that made it clear Trump never wanted a DACA deal in the first place. He wants the prog…,0.18333333333333335, 0.2722222222222222
@SAGAcious7243 @jaketapper Just like a little kid  you just point a finger at the easiest person to blame. You can'… https://t.co/G0LMuYCvK6,-0.1875, 0.5
RT @kylegriffin1: There are no pending Trump nominees for 245 of 626 top executive branch jobs  per WaPo  including: deputy secretary at Tr…,0.5, 0.5
RT @chrissyteigen: trump became president the same year people started eating tide pods,0.0, 0.125
'The least racist person you have ever interviewed': President Trump responds to 'sh*thole' comment… https://t.co/V9dNxlAlDi,-0.3, 0.4
RT @TinKygal: @DonaldJTrumpJr https://t.co/QGA7BvvJ9S Can you do us a solid and find out where this money is.,0.0, 0.1
GOP: How dare you call Trump and us racist!

Everybody Else: But Trump called Haiti and Africa “shithole countries”… https://t.co/bwAjFY2elv,0.0, 0.0
@wellslynda43 @BuzzFeedNews Figures you would propagate a fraud university from a con artist what's new with trumpi… https://t.co/USI7wX97ZZ,0.13636363636363635, 0.45454545454545453
RT @pkcapitol: So  guess who's testifying before Senate Judiciary Tuesday? DHS Secretary Nielsen. She was there but does "not recall" if Tr…,0.0, 0.0
RT @JackPosobiec: I can't believe Trump just compared his low White House bowling score to the Special Olympics! Outrageous and unpresident…,-0.13839285714285715, 0.46785714285714286
RT @CNN: Dr. Allen Frances on Donald Trump: "It's an insult to the mentally ill to say that the reason he shouldn't be in office is mental…,-0.5, 1.0
VENEZUELA: Venganza: Vea cómo artista convirtió el hotel de Donald Trump en un "agujero de mierda"… https://t.co/uppXSZ31jP,0.0, 0.0
RT @rezaaslan: Trump knew within minutes no missile was hurtling toward Hawaii. He was golfing. They told him. He did not tweet out that in…,0.0, 0.0
RT @HuntsberryBeth: @DobbaDobba @MamaRose2017 @PressSec #SarahSanders comes from a completely disfunctional  immoral family. Her father emb…,0.1, 0.4
RT @JemiSHaaaZzz: Happening now!
The word shithole &amp; poop emoji being projected on to Trump’s D.C. hotel 💩 
https://t.co/Jfc5eLwRE6,0.0, 0.0
RT @2021_free: The Love Canal Tragedy
by Eckardt C. Beck
[EPA Journal - January 1979]
Unnecessary regulations said Trump!
Poisoning America…,0.0, 0.75
RT @cnni: 'This place is a shithole' projected onto Trump hotel  with emojis https://t.co/rl3TX0XINA,0.0, 0.0
RT @chrissyteigen: trump became president the same year people started eating tide pods,0.0, 0.125
Lindsey &amp; Durban are both Dicks. Senator Rand Paul Defends Trump’s ‘Sh*thole’ Comment  BLASTS Hypocrite Lindsey Gra… https://t.co/EI5rBkQvEr,0.0, 0.0
RT @DRJAMESCABOT: Donny 
The game is over 
Please meet me at ur shithole 
Hotel 
Please bring 💲130K 
Ave K demands I wear Louis Vuitton
Eve…,-0.4, 0.4
RT @DavidYankovich: We hate Donald Trump like you hated President Obama.

However  we hate Trump because he is racist  you hated Obama beca…,-0.85, 0.8
RT @kwilli1046: #Trump Supporters Must Be United to Make a Difference. Individually We Are Powerless  But United We Will Be Unstoppable! Le…,-0.3125, 0.65
RT @bgood12345: 💥💥Flashback.. Watch Our @POTUS Trump with The Rona Barret Interview at age 34... and since then @POTUS Trump had the same l…,0.0, 0.125
RT @JooBilly: Everyone in the room—including Trump Administration officials—have said contradicted Cotton and Perdue.

Cotton is lying. How…,0.0, 0.0
RT @jdawsey1: Trump's habit is often to deny whatever charge is made in the strongest terms/turn it on other person. "You're the puppet..."…,-0.125, 0.375
RT @chrissyteigen: trump became president the same year people started eating tide pods,0.0, 0.125
RT @chrissyteigen: trump became president the same year people started eating tide pods,0.0, 0.125
RT @ExtinctMedia: Retweet if you'd like to join a class-action lawsuit against Twitter for #ShadowBanning all of us #MAGA Trump supporters…,0.0, 0.0
RT @chrissyteigen: trump became president the same year people started eating tide pods,0.0, 0.125
RT @dianashavemore1: @kylegriffin1 I never thought I was capable of hating a person so much...and then along came Trump. 😡,0.2, 0.4
RT @AMErikaNGIRLBOT: Trump calls for strict voter ID laws  which critics say disenfranchises the poor and minorities. RT if you Support Str…,-0.4, 0.6
RT @dcexaminer: Frederica Wilson won't attend Trump's State of the Union: "It would be an embarrassment to be seen with him" https://t.co/i…,0.0, 0.0
RT @DonaldJTrumpJr: Economists agree: Trump  not Obama  gets credit for economy 

It doesn’t take a rocket scientist to realize Obama’s tax…,0.0, 0.0
#Femail - Ivanka Trump's daughter Arabella belts out Happy Birthday  Ivanka  36  and her... https://t.co/xZnUaDysEG https://t.co/qgdid6inul,0.8, 1.0
RT @AidenWolfe: It's my Twitter and I'll get hyperbolic if I want to  vulgar if I want to  label Melania Trump a glorified prostitute if I…,-0.7, 0.8
RT @funder: Spoke to three Republicans this morning that made it clear Trump never wanted a DACA deal in the first place. He wants the prog…,0.18333333333333335, 0.2722222222222222
RT @bellvisuals: 💩💩💩 Sh*thole Projection on Trump Hotel #Resist 💩💩💩 https://t.co/5Y8xH54J5K,0.0, 0.0
RT @FoxNews: .@AlvedaCKing: "People were saying that President Trump has called Haiti and Africa a bad word. No  he was referring to the co…,-0.6999999999999998, 0.6666666666666666
RT @CNNEE: ÚLTIMA HORA Trump: No soy racista https://t.co/VR3cOnKpxq https://t.co/bywQGOlN5F,0.0, 0.0
RT @chrissyteigen: trump became president the same year people started eating tide pods,0.0, 0.125
